customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
C001,Female,0,Yes,No,1,Yes,Fiber optic,Month-to-month,85.0,,Yes
C002,Male,0,No,No,34,Yes,DSL,One year,56.95,1889.5,No
C003,Male,0,No,No,2,Yes,Fiber optic,Month-to-month,89.1,178.2,Yes
C004,Male,0,Yes,No,45,No,No internet service,Two year,18.95,853.0,No
C005,Female,1,Yes,Yes,5,Yes,Fiber optic,Month-to-month,99.65,498.25,Yes
C006,Female,0,No,No,8,Yes,DSL,Month-to-month,45.3,362.4,No
C007,Male,1,No,No,12,Yes,Fiber optic,Month-to-month,95.5,1146.0,Yes
C008,Female,0,Yes,Yes,60,Yes,DSL,Two year,29.9,1794.0,No
C009,Male,0,No,No,3,Yes,Fiber optic,Month-to-month,88.75,,Yes
C010,Female,0,Yes,No,24,Yes,DSL,One year,54.2,1300.8,No
C011,Male,0,No,No,10,Yes,Fiber optic,Month-to-month,92.3,923.0,Yes
C012,Female,1,Yes,No,15,No,No internet service,One year,20.1,301.5,No
C013,Male,0,Yes,Yes,72,Yes,DSL,Two year,26.4,1900.8,No
C014,Female,0,No,No,6,Yes,Fiber optic,Month-to-month,97.8,586.8,Yes
C015,Male,0,Yes,No,48,Yes,DSL,One year,58.6,2812.8,No
