campaign_group,revenue
Control,5248.3570765056165
Control,4930.867849414408
Control,5323.844269050346
Control,5761.514928204013
Control,4882.923312638332
Control,4882.93152152541
Control,5789.606407753696
Control,5383.717364576454
Control,4765.262807032524
Control,5271.280021792983
Control,4768.291153593769
Control,4767.135123214872
Control,5120.981135783017
Control,4043.359877671101
Control,4137.541083743484
Control,4718.856235379513
Control,4493.584439832788
Control,5157.123666297637
Control,4545.987962239395
Control,4293.848149332354
Control,5732.824384460777
Control,4887.111849756732
Control,5033.764102343962
Control,4287.625906893271
Control,4727.808637737408
Control,5055.461294854933
Control,4424.503211288848
Control,5187.849009172836
Control,4699.680655040597
Control,4854.153125103361
Control,4699.146693885302
Control,5926.139092254469
Control,4993.251387631033
Control,4471.144535522049
Control,5411.272456051594
Control,4389.578175014489
Control,5104.431797502378
Control,4020.164938060112
Control,4335.906975550784
Control,5098.430617934562
Control,5369.2332899977055
Control,5085.684140594985
Control,4942.17585880588
Control,4849.448152205356
Control,4260.739004816286
Control,4640.077895802646
Control,4769.680614520106
Control,5528.561113109457
Control,5171.809144784231
Control,4118.479922318633
Test,5662.041984697397
Test,5307.458859791842
Test,5161.538999847021
Test,5805.838144420434
Test,6015.499761247976
Test,5965.640059558099
Test,5080.391238388681
Test,5345.393812074392
Test,5665.631715701782
Test,5987.77256356118
Test,5260.412881077355
Test,5407.170511668091
Test,4946.832512996986
Test,4901.896687959665
Test,5906.262911197099
Test,6178.120014285411
Test,5463.994939209833
Test,6001.766448946012
Test,5680.818012523817
Test,5177.440122697438
Test,5680.697802754207
Test,6269.018283232985
Test,5482.086980445024
Test,6282.321827907003
Test,4190.1274479551275
Test,5910.951252187612
Test,5543.5235341190855
Test,5350.496324767067
Test,5545.880388267751
Test,4506.215542699553
Test,5390.164056081244
Test,5678.556285755873
Test,6238.947022370758
Test,5240.864890863177
Test,5095.753198553406
Test,5249.121478207731
Test,5957.7010588510375
Test,5664.375554829842
Test,5235.119898116481
Test,5756.633716556678
Test,5548.53877467402
Test,5984.322495266445
Test,5148.973453061324
Test,5336.168926701116
Test,5303.945923433921
Test,4768.242525933941
Test,5648.060138532288
Test,5630.527636089944
Test,5502.55672832123
Test,5382.706433312426
