Customer_ID,Gender,Age,Region
1,Male,20,North
2,Female,54,East
3,Male,24,North
4,Male,38,West
5,Male,26,North
6,Female,56,West
7,Male,35,West
8,Male,21,West
9,Male,42,East
10,Female,31,East
11,Male,26,East
12,Male,43,North
13,Male,19,West
14,Male,37,East
15,Female,45,East
16,Male,24,North
17,Female,25,East
18,Female,52,North
19,Female,31,South
20,Male,34,East
21,Female,53,South
22,Male,57,North
23,Female,21,West
24,Female,19,East
25,Female,23,North
26,Female,59,West
27,Female,21,West
28,Female,46,South
29,Female,35,North
30,Female,43,West
31,Male,51,East
32,Male,27,East
33,Female,53,South
34,Female,31,West
35,Female,48,North
36,Male,32,East
37,Female,25,West
38,Male,31,West
39,Male,40,South
40,Male,57,East
41,Male,38,East
42,Male,33,North
43,Female,35,East
44,Female,41,North
45,Female,43,East
46,Female,42,South
47,Female,58,East
48,Male,46,North
49,Female,32,North
50,Female,18,South
