Order_ID,Delivery_Days
1001,9
1002,7
1003,4
1004,3
1005,5
1006,5
1007,3
1008,9
1009,4
1010,5
1011,4
1012,5
1013,7
1014,9
1015,7
1016,5
1017,7
1018,5
1019,3
1020,7
1021,2
1022,9
1023,1
1024,6
1025,7
1026,8
1027,9
1028,2
1029,2
1030,5
1031,5
1032,6
1033,3
1034,8
1035,1
1036,6
1037,4
1038,1
1039,7
1040,9
1041,4
1042,4
1043,6
1044,3
1045,6
1046,7
1047,3
1048,7
1049,3
1050,2
1051,4
1052,8
1053,9
1054,7
1055,1
1056,3
1057,9
1058,1
1059,9
1060,8
1061,1
1062,6
1063,5
1064,6
1065,5
1066,6
1067,5
1068,5
1069,4
1070,3
1071,3
1072,4
1073,9
1074,2
1075,9
1076,1
1077,1
1078,5
1079,6
1080,6
1081,3
1082,7
1083,9
1084,8
1085,6
1086,8
1087,5
1088,8
1089,4
1090,8
1091,2
1092,5
1093,9
1094,4
1095,6
1096,1
1097,9
1098,1
1099,5
1100,4
